Age,Education,Marital_Status,Income,Kids,Dt_Customer,Recency,Complain,Wines,Fruits,Meat,Fish,Sweets,Gold,Total_Spent,Deals,Acc_Cmp1,Acc_Cmp2,Acc_Cmp3,Acc_Cmp4,Acc_Cmp5,Response,Store,Catalog,Webs,Web_Visist
67,Graduate,Single,58138.0,0,2012-09-04,58,False,635,88,546,172,88,88,1617,3,False,False,False,False,False,True,4,10,8,7
70,Graduate,Single,46344.0,2,2014-03-08,38,False,11,1,6,2,1,6,27,2,False,False,False,False,False,False,2,1,1,5
59,Graduate,Together,71613.0,0,2013-08-21,26,False,426,49,127,111,21,42,776,1,False,False,False,False,False,False,10,2,8,4
40,Graduate,Together,26646.0,1,2014-02-10,26,False,11,4,20,10,3,5,53,2,False,False,False,False,False,False,4,0,2,6
43,Postgraduate,Together,58293.0,1,2014-01-19,94,False,173,43,118,46,27,15,422,5,False,False,False,False,False,False,6,3,5,5
57,Postgraduate,Together,62513.0,1,2013-09-09,16,False,520,42,98,0,42,14,716,2,False,False,False,False,False,False,10,4,6,6
53,Graduate,Single,55635.0,1,2012-11-13,34,False,235,65,164,50,49,27,590,4,False,False,False,False,False,False,7,3,7,6
39,Postgraduate,Together,33454.0,1,2013-05-08,32,False,76,10,56,3,1,23,169,2,False,False,False,False,False,False,4,0,4,8
50,Postgraduate,Together,30351.0,1,2013-06-06,19,False,14,0,24,3,3,2,46,1,False,False,False,False,False,True,2,0,3,9
74,Postgraduate,Together,5648.0,2,2014-03-13,68,False,28,0,6,1,1,13,49,1,False,False,True,False,False,False,0,0,1,20
41,Graduate,Together,51381.5,1,2013-11-15,11,False,5,5,6,0,2,1,19,1,False,False,False,False,False,False,2,0,1,7
48,Undergraduate,Together,7500.0,0,2012-11-13,59,False,6,16,11,11,1,16,61,1,False,False,False,False,False,False,3,0,2,8
65,Graduate,Single,63033.0,0,2013-11-15,82,False,194,61,480,225,112,30,1102,1,False,False,False,False,False,False,8,4,3,2
72,Postgraduate,Single,59354.0,2,2013-11-15,53,False,233,2,53,3,5,14,310,3,False,False,False,False,False,False,5,1,6,6
37,Graduate,Together,17323.0,0,2012-10-10,38,False,3,14,17,6,1,5,46,1,False,False,False,False,False,False,3,0,1,8
78,Postgraduate,Single,82800.0,0,2012-11-24,23,False,1006,22,115,59,68,45,1315,1,True,False,False,False,True,True,12,6,7,3
44,Graduate,Together,41850.0,2,2012-12-24,51,False,53,5,19,2,13,4,96,3,False,False,False,False,False,False,3,0,3,8
78,Graduate,Together,37760.0,0,2012-08-31,20,False,84,5,38,150,12,28,317,2,False,False,False,False,False,False,6,1,4,7
75,Postgraduate,Together,76995.0,1,2013-03-28,91,False,1012,80,498,0,16,176,1782,2,True,False,False,False,False,False,9,4,11,5
39,Undergraduate,Single,33812.0,1,2012-11-03,86,False,4,17,19,30,24,39,133,2,False,False,False,False,False,False,3,1,2,6
42,Graduate,Together,37040.0,0,2012-08-08,41,False,86,2,73,69,38,48,316,1,False,False,False,False,False,False,5,2,4,8
45,Graduate,Together,2447.0,1,2013-01-06,42,False,1,1,1725,1,1,1,1730,15,False,False,False,False,False,False,0,28,0,1
75,Postgraduate,Together,58607.0,1,2012-12-23,63,False,867,0,86,0,0,19,972,3,False,False,False,True,False,False,9,3,2,8
70,Postgraduate,Together,65324.0,1,2014-01-11,0,False,384,0,102,21,32,5,544,3,False,False,False,False,False,False,9,2,6,4
73,Graduate,Together,40689.0,1,2013-03-18,69,False,270,3,27,39,6,99,444,7,False,False,False,False,False,False,5,1,7,8
55,Graduate,Single,18589.0,0,2013-01-02,89,False,6,4,25,15,12,13,75,2,False,False,False,False,False,False,3,1,2,7
48,Graduate,Together,53359.0,2,2013-05-27,4,False,173,4,30,3,6,41,257,4,False,False,False,False,False,False,4,1,5,7
38,Graduate,Single,51381.5,1,2013-02-20,19,False,5,1,3,3,263,362,637,0,False,False,False,False,False,False,0,0,27,1
35,Graduate,Together,38360.0,1,2013-05-31,26,False,36,2,42,20,21,10,131,2,False,False,False,False,False,False,4,1,2,3
59,Postgraduate,Together,84618.0,0,2013-11-22,96,False,684,100,801,21,66,0,1672,1,False,False,False,False,True,False,10,9,6,2
35,Postgraduate,Single,10979.0,0,2014-05-22,34,False,8,4,10,2,2,4,30,2,False,False,False,False,False,False,3,0,3,5
61,Postgraduate,Together,38620.0,0,2013-05-11,56,False,112,17,44,34,22,89,318,1,False,False,False,False,False,False,3,5,2,3
54,Graduate,Together,40548.0,1,2012-10-10,31,False,110,0,5,2,0,3,120,2,False,False,False,True,False,False,4,1,2,5
72,Postgraduate,Single,46610.0,2,2012-10-29,8,False,96,12,96,33,22,43,302,6,False,False,False,False,False,True,6,1,4,6
78,Postgraduate,Together,68657.0,0,2013-02-20,4,False,482,34,471,119,68,22,1196,1,False,False,False,False,False,False,9,5,3,7
73,Postgraduate,Single,49389.0,2,2013-08-29,55,False,40,0,19,2,1,3,65,1,False,False,False,False,False,False,3,0,2,7
54,Postgraduate,Together,67353.0,1,2013-12-31,37,False,702,17,151,0,8,35,913,5,False,False,False,False,False,False,12,6,5,2
48,Undergraduate,Together,23718.0,1,2013-09-02,76,False,6,3,14,15,7,36,81,3,False,False,False,False,False,False,2,1,3,7
51,Graduate,Single,42429.0,1,2014-02-11,99,False,55,0,6,2,0,4,67,2,False,False,False,False,False,False,3,1,1,5
81,Postgraduate,Single,48948.0,0,2013-02-01,53,False,437,8,206,160,49,42,902,2,False,False,True,False,False,True,5,10,7,6
44,Graduate,Together,80011.0,1,2013-04-29,3,False,421,76,536,82,178,102,1395,2,False,False,False,False,False,False,5,6,8,4
39,Postgraduate,Together,20559.0,1,2013-03-12,88,False,13,1,29,3,0,7,53,2,False,False,False,False,False,False,3,0,2,8
67,Graduate,Together,21994.0,1,2012-12-24,4,False,9,0,6,3,1,3,22,1,False,False,False,False,False,False,3,0,0,5
65,Postgraduate,Single,51381.5,0,2013-11-05,80,False,81,11,50,3,2,39,186,1,False,False,False,False,False,False,4,3,1,2
49,Postgraduate,Together,7500.0,1,2013-10-02,19,False,3,1,10,3,2,12,31,3,False,False,False,False,False,False,3,0,2,5
48,Graduate,Single,79941.0,0,2014-06-28,72,False,123,164,266,227,30,174,984,1,False,False,False,False,False,False,9,4,2,1
28,Undergraduate,Together,7500.0,0,2012-11-09,24,False,3,18,14,15,22,50,122,3,False,False,False,False,False,True,3,1,3,9
56,Graduate,Together,41728.0,1,2013-05-24,92,False,13,6,15,3,5,13,55,1,False,False,False,False,False,False,2,0,2,10
73,Graduate,Single,51381.5,3,2014-01-01,96,False,48,5,48,6,10,7,124,3,False,False,False,False,False,False,4,1,2,6
70,Postgraduate,Together,72550.0,2,2012-11-08,39,False,826,50,317,50,38,38,1319,9,False,False,False,False,False,False,12,2,5,8
67,Graduate,Single,65486.0,1,2014-05-12,29,False,245,19,125,37,67,14,507,1,False,False,False,False,False,False,10,2,4,2
60,Postgraduate,Together,79143.0,0,2012-08-11,2,False,650,37,780,27,167,32,1693,1,False,False,False,False,False,False,13,9,6,3
47,Graduate,Single,35790.0,1,2013-01-02,54,False,12,6,20,30,1,3,72,2,False,False,False,False,False,False,3,0,2,7
47,Graduate,Single,82582.0,0,2014-06-07,54,False,510,120,550,156,40,241,1617,1,True,False,True,False,False,True,7,9,4,1
46,Graduate,Together,66373.0,2,2013-06-12,57,False,328,9,124,12,24,109,606,7,False,False,False,False,False,False,10,2,4,3
69,Postgraduate,Together,82384.0,0,2012-11-19,55,False,984,51,432,180,120,190,1957,1,False,False,False,False,True,True,13,10,3,1
58,Graduate,Single,70287.0,0,2013-04-02,30,False,295,35,482,121,120,40,1093,1,False,False,False,False,False,True,10,5,5,3
36,Graduate,Single,27938.0,1,2014-04-28,31,False,13,0,8,2,1,5,29,1,False,False,False,False,False,False,4,0,1,3
42,Graduate,Single,51381.5,1,2013-06-17,57,False,11,3,22,2,2,6,46,2,False,False,False,False,False,False,3,0,2,6
56,Postgraduate,Together,55954.0,1,2014-03-03,63,False,447,0,28,0,0,43,518,3,False,False,False,False,False,False,6,2,8,7
42,Postgraduate,Single,75777.0,0,2013-07-04,12,False,712,26,538,69,13,80,1438,1,False,False,False,True,True,True,11,6,3,1
49,Graduate,Together,66653.0,2,2012-09-07,18,False,452,18,102,16,18,6,612,4,False,False,False,False,False,False,12,2,4,3
72,Graduate,Single,61823.0,1,2013-02-18,26,False,523,7,134,37,14,169,884,4,False,False,False,False,False,False,10,2,8,7
73,Postgraduate,Single,67680.0,1,2013-06-11,8,False,546,0,48,0,6,6,606,1,False,False,False,False,False,False,8,3,7,5
76,Graduate,Together,70666.0,0,2013-12-06,29,False,398,40,367,119,122,30,1076,1,False,False,False,False,False,False,4,4,7,4
53,Graduate,Together,25721.0,1,2013-05-21,75,False,1,3,6,3,6,15,34,1,False,False,False,False,False,True,2,1,1,7
57,Graduate,Together,32474.0,2,2014-05-11,0,False,10,0,1,0,0,0,11,1,False,False,False,False,False,False,2,0,1,7
45,Undergraduate,Single,88194.0,1,2014-03-19,19,False,688,14,309,201,24,38,1274,1,True,False,True,False,False,True,10,10,11,5
66,Graduate,Together,69096.0,1,2013-09-27,4,False,247,49,159,7,82,109,653,1,False,False,False,False,False,False,10,2,5,4
54,Graduate,Together,74854.0,3,2013-04-08,90,False,856,59,487,58,29,73,1562,7,False,False,False,False,False,False,5,5,2,5
70,Postgraduate,Together,66991.0,0,2012-09-11,1,False,496,36,460,189,60,12,1253,3,False,False,False,False,False,False,6,8,4,3
51,Undergraduate,Together,51381.5,1,2012-09-14,25,False,25,3,43,17,4,17,109,3,False,False,False,False,False,False,3,0,3,8
65,Graduate,Together,65031.0,1,2013-03-17,29,False,258,107,291,84,37,86,863,4,False,False,False,False,False,False,13,3,10,7
49,Postgraduate,Together,60631.0,2,2013-04-05,88,False,565,6,65,0,6,19,661,5,False,False,False,True,False,False,8,2,9,7
72,Graduate,Together,28332.0,0,2014-04-30,58,False,14,10,13,4,15,9,65,1,False,False,False,False,False,False,4,1,2,2
47,Graduate,Single,40246.0,1,2012-12-19,68,False,2,1,6,2,1,1,13,1,False,False,False,False,False,False,2,0,1,6
52,Postgraduate,Together,75251.0,0,2012-08-27,34,False,721,111,925,97,18,18,1890,1,False,False,False,False,False,True,5,6,7,5
48,Graduate,Single,75825.0,0,2012-10-12,40,False,1032,105,779,137,105,51,2209,0,False,False,True,False,False,True,9,8,5,4
48,Undergraduate,Together,26326.0,0,2013-09-04,12,True,1,0,5,0,3,9,18,1,False,False,False,False,False,False,3,0,0,3
59,Graduate,Together,56046.0,0,2013-01-02,9,False,577,0,64,0,0,51,692,2,False,False,True,False,False,True,8,1,10,8
39,Graduate,Single,29760.0,1,2012-08-29,87,False,64,4,68,7,5,17,165,4,False,False,False,False,False,False,4,1,3,8
55,Graduate,Together,26304.0,1,2013-06-23,5,False,4,1,5,2,0,4,16,1,False,False,False,False,False,False,2,0,1,7
51,Undergraduate,Together,23559.0,1,2013-07-03,87,False,25,5,19,7,0,23,79,3,False,False,False,False,False,False,3,0,3,7
61,Postgraduate,Together,38620.0,0,2013-05-11,56,False,112,17,44,34,22,89,318,1,False,False,False,False,False,False,3,5,2,3
37,Graduate,Single,81361.0,0,2014-02-25,18,False,163,23,424,27,65,76,778,1,False,False,False,False,False,False,13,10,3,1
64,Graduate,Together,29440.0,2,2013-08-11,95,False,17,8,14,10,4,3,56,2,False,False,False,False,False,False,4,0,1,7
54,Postgraduate,Together,36138.0,2,2013-07-16,48,False,130,0,16,0,0,5,151,5,False,False,False,True,False,False,4,1,3,7
67,Graduate,Single,50388.0,1,2014-05-28,3,False,292,6,37,0,3,34,372,4,True,False,False,True,False,True,6,1,6,7
51,Graduate,Together,79593.0,0,2014-05-12,70,False,350,60,568,110,133,145,1366,1,False,False,False,False,True,False,7,6,5,2
57,Graduate,Together,54178.0,1,2014-01-21,79,False,135,9,39,4,0,7,194,1,False,False,False,False,False,False,5,2,2,2
